id,prompt,A,B,C,D,E,answer
0,Which calculator in the HP 49/50 series was the first to use flash memory and have an upgradable firmware?,HP 49G,HP 48 series,HP 49G+,HP 50G,HP 49G-+,A
1,What is a photomask used for?,To produce a pattern on a thin wafer of material,To laminate rubylith film onto a transparent mylar sheet,To cut designs into rubylith by hand,To create an arrayed multi-chip image called a reticle,To shine light through transparent areas in a defined pattern,A
2,What is the difference between syntactic interoperability and semantic interoperability in computer systems?,"Syntactic interoperability focuses on the transmission mechanisms for data, while semantic interoperability is concerned with the shared meaning of the data","Syntactic interoperability refers to the packaging and transmission mechanisms for data, while semantic interoperability is the ability to exchange data with unambiguous meaning","Syntactic interoperability is the ability to exchange data with unambiguous meaning, while semantic interoperability focuses on the transmission mechanisms for data","Syntactic interoperability is the foundation and capability of machine interpretation, inference, and logic, while semantic interoperability is concerned with the packaging of data","Syntactic interoperability uses metadata to transmit the meaning of data, while semantic interoperability uses controlled, shared vocabulary",A
3,Where was Richard Lydekker born?,"Tavistock Square, London",Harpenden Lodge,Cambridge,India,Palaeontologia Indica,A
4,What is the temporal coverage of Elsevier BIOBASE?,From 1994 to the present,From the 1950s to the present,From 1950 to 1994,From 1994 to 2008,From 2008 to the present,A
5,"Who coined the term ""trajectoids""?",Bartosz Grzybowski,Institute for Basic Science,University of Geneva,Switzerland,South Korea,A
6,What is the purpose of a hydromill trench cutter?,To dig narrow and deep trenches,To transport slurry walls,To pump hydraulic oil,To cut concrete walls,To excavate soil using a bucket,A
7,What is the function of Transcription activator-like effector nucleases (TALEN)?,To cut specific sequences of DNA,To bind to RNA molecules,To repair damaged DNA,To inhibit gene transcription,To catalyze protein synthesis,A
8,What is tolerance coning?,The process of creating a budget of all tolerances that potentially affect the adequacy of a parameter,The process of designing and manufacturing items with tight limits to prevent bad items from being shipped,The process of formalizing tolerance analysis for critical parameters in electronics engineering,The process of setting test limits for measurements on manufactured items,The process of considering test tolerances in the design of an item,A
9,What are the classical objects of interest in arithmetic geometry?,Solutions of polynomial equations over number fields,Rational numbers,Real numbers,Solutions of polynomial equations over finite fields,Algebraic varieties over complex numbers,A
10,What is the study of artifacts in archaeometry called?,Artifact analysis,Provenance determination,Archaeometallurgy,Paleoethnobotany,Zooarchaeology,A
